"","major","contMitMt_National & Public_1975","contMitMt_Private_1975","contMitMt_Total_1975","contMitMt_National & Public_2019","contMitMt_Private_2019","contMitMt_Total_2019","contFitFt_National & Public_1975","contFitFt_Private_1975","contFitFt_Total_1975","contFitFt_National & Public_2019","contFitFt_Private_2019","contFitFt_Total_2019"
"17","Civil engineering",0.0492121400294962,0.0660859447475589,0.062577472936121,0.035541772658416,0.0366504150251261,0.0363769668941402,0.00181735574738755,0.00323161253374785,0.00285714285714286,0.0135961930659415,0.00974184120798831,0.0105419124025184
"18","Applied chemistry",0.0656873399053016,0.021677489687993,0.0310759441368482,0.0406293766256038,0.0129467251850535,0.0197746883988495,0.00329395729213994,0.00233166980283073,0.00258646616541353,0.0201543567801016,0.00554132688067292,0.00857464213527681
"19","Applied science",0.0120507645734689,0.00342772685105112,0.00526815965622676,0.0125618086717924,0.00429997847671274,0.00633777000733179,0.000397546569741027,0.000449971365458562,0.00043609022556391,0.0018994681489183,0.000827532747775351,0.00105004088103825
"20","Nuclear engineering",0.004385624466351,0.000870034644150589,0.00161970085116932,0,0.000378997014813636,0.000285516891320286,5.6792367105861e-05,0,1.50375939849624e-05,0,5.76130394020814e-05,4.56539513494893e-05
"21","Mining engineering",0.00541411161996429,0.000288264490531822,0.00138005123543509,0,0,0,0,0,0,0,0,0
"22","Metallurgical engineering",0.0182216874951486,0.00315518587818467,0.00636724237666309,0.000371566581873267,0,9.16473972139191e-05,0.000340754202635166,2.04532438844801e-05,0.000105263157894737,3.99888031351222e-05,0,8.30071842717987e-06
"23","Textile engineering",0.0104207094620818,0,0.00221882489050492,0.00220081744648012,0,0.000542834583497829,0.00147660154475239,0,0.000390977443609023,0.000899748070540249,0,0.000186766164611547
"24","Marine engineering",0.00388108359854071,0.00107444037380043,0.00167341542021321,0.000771715208506017,0,0.000190344594213524,0,0,0,0.000239932818810733,0,4.98043105630792e-05
"25","Aeronautical engineering",0.00256151517503687,0.00125264024067464,0.00153293116271383,0.000800297253265499,0.00213361282413603,0.00180474874513564,0,0,0,1.99944015675611e-05,0.000298540295083513,0.000240720834388216
"26","Engineering management",0.00384227276255531,0.0197120499798215,0.0163581522188249,0.00140052019321462,0.00692956270295056,0.00556581693079917,0,0.000818129755379203,0.000601503759398496,0.000499860039189027,0.00155031451481964,0.00133226530756237
"27","Crafts",0.00143600093146006,0.000314470353307442,0.000553673250144616,5.71640895189642e-05,0.00146919830433928,0.00112091816592409,0.000908677873693776,0.000184079194960321,0.00037593984962406,0.00017994961410805,0.000984659218871937,0.000817620765077217
"28","Engineering: Others",0.00782038345105954,0.00362689140814583,0.00452441946946533,0.105196215737274,0.0363556395691599,0.0533352602786081,0.000397546569741027,8.18129755379203e-05,0.000165413533834586,0.0427880193545807,0.0117268722928418,0.0181744229963103
"29","Agricultural sciences",0.0234805557711713,0.00583866622640817,0.00960251218907528,0.00940349272586961,0.00389758658444147,0.00525562574022898,0.00954111767378464,0.00169761924241185,0.00377443609022556,0.0122365737593474,0.00291207726432339,0.00484761956147305
"30","Agricultural chemistry",0.0215594193898937,0.00394136176145327,0.00769771093298075,0.00365850172921371,0.00211957589766145,0.00249915402402572,0.0135733757383008,0.00259756197332897,0.00550375939849624,0.0055984324389171,0.0027549507932268,0.00334518952615349
"31","Agricultural engineering",0.0169021190716448,0.00112161092679654,0.00448310057020081,0.00168634064080944,0.00153470396122065,0.001572105352208,0,4.09064877689602e-05,3.00751879699248e-05,0.00139960810972928,0.000654693629569107,0.000809320046650038
"32","Agricultural economics",0.00386167818054801,0.0047537435074975,0.00456987025865631,0.00168634064080944,0.000631661691356061,0.00089179967288929,0.000624716038164471,0.000368158389920641,0.00043609022556391,0.00315911544767465,0.000885145787177432,0.00135716746284391
"33","Forestry",0.0115462237056586,0.00165096935486407,0.00376001983307165,0.00267242118501158,0.000458539598169585,0.00100459646946027,0.000511131303952749,0,0.000135338345864662,0.00169952413324269,0.00025663990279109,0.000556148134621051
"34","Forest products",0.0027361639369712,0,0.000582596479629783,0,0,0,0.000283961835529305,0,7.5187969924812e-05,0,0,0
"35","Veterinary medicine",0.0120701699914616,0.00573908394786082,0.0070944550037187,0.00168634064080944,0.0011884597748477,0.00131126276013761,0.00499772830531577,0.00267937494886689,0.00329323308270677,0.00335905946335026,0.00243022275296052,0.00262302702298884
"36","Fisheries science",0.0114880074516805,0.00341200333338575,0.00513593917858028,0.00637379598136451,0.00300858124105146,0.00383861598330607,0.000965470240799636,0.000204532438844801,0.000406015037593985,0.00411884672291758,0.00124129912166303,0.00183860913162034
