"","major","National & Public_1975","Private_1975","Total_1975","National & Public_1990","Private_1990","Total_1990","National & Public_2005","Private_2005","Total_2005","National & Public_2019","Private_2019","Total_2019"
"34","Forest products",0.122610105072095,0,0.0253704254852485,0.0690797177634618,0,0.0155403093958006,0,0,0,0,0,0
"35","Veterinary medicine",0.353622084307293,0.152985449949696,0.190061096050597,0.0108420955079178,0.0284147224720553,0.020089581383744,0.0443609826464013,0.0574888144754094,0.0537739988555314,0.0836359411270409,0.0620881489056413,0.0655882131425614
"36","Fisheries science",0.526126860544044,0.160373544727047,0.236496207049315,0.417172991400143,0.136046599572984,0.20132698931705,0.0577542946667584,0.0485923033891402,0.0531147248918076,0.112747462922346,0.0883641059694216,0.100000342584287
"37","Agricultural sciences: Others",0,0.0269789067837762,0.0178999063645396,0.0249113478776102,0.0457680963539496,0.0300029583892934,0.274807140208772,0.000402292066203512,0.0462943463616047,0.120022357383572,0.0179162973074287,0.0342859089038782
"38","Medicine",1.7380970463455,0.103002864016724,0.418487380338293,1.58674375567801,0.113819169839727,0.44796740132445,0.635894700882451,0.111355667552554,0.244060820574202,1.01163028283541,0.153274644191079,0.419085538215918
"39","Dentistry",0.141462279094311,0.143398135927476,0.140556021903366,0.15747057816349,0.101952228793599,0.113976135983381,0.0212640073775902,0.0861469364661913,0.0724868914931538,0.0628357800919581,0.0367923949216053,0.0177492914215493
"40","Pharmacy",1.76355751020006,2.92479889978307,2.62189205763769,0.937798579759452,2.38002409727427,2.00312627750266,0.274843017653865,0.817944225626714,0.699582141772438,0.0304020399197477,0.711305250732495,0.570363161742319
"41","Nursing",0.0482735120399818,0.055984362054564,0.053928743849542,0.188071901334587,0.165667188375845,0.171473298418913,3.00402205006711,0.592352022118961,1.11903703347061,4.18037155444362,2.9227578960425,3.18734534415588
"42","Health: Others",0.124845563378342,0.327098237773068,0.273197206718142,0.134562801806151,0.465219034212772,0.37911029530379,1.81111369217249,0.708042771794614,0.948162389575231,2.73241530499908,0.583986808249189,1.06915488379331
"43","Merchant marine",0.29981370798727,0,0,0.210719339262353,0,0.0501985576487956,0.0849874312194193,0,0.0194548511286938,0.0488844173735678,0,0.0126043080789964
"44","Home economics",0.809291231258519,1.64410203273404,1.42287818132224,0.519006112336793,1.34681627070564,1.13213210396481,0.492924468006919,1.2244471669698,1.06500945847863,0.225209156830377,0.994053404964175,0.837324952259698
"45","Food science",0.649302332462473,1.53116179106429,1.29766986261621,0.508155810336721,1.18055556370477,1.00609765936649,0.183746596815689,0.955864734799113,0.787056025613031,0.507261402369117,1.90756389886689,1.62251732518251
"46","Clothing",0.379538588709633,1.00425427472797,0.83889114986458,0.32550906000217,0.979560305962211,0.809938750433812,0.0234426613814121,0.333816606704971,0.265930172936186,0,0.276825136474178,0.21988393573828
"47","Housing",0.186230957518869,0.137036734026017,0.150565633984142,0.109488326807964,0.138037586748392,0.130851999562612,0,0.105007547417471,0.0820398079522677,0.036989642899988,0.0255134587155148,0.0286178273625668
"48","Child",0.249886415265788,0.900965393111347,0.728571428571429,0.177221599334515,1.03779399452946,0.814518124575634,0,0.350032575412002,0.273662448076245,0,0.268074726426535,0.213342990772065
"49","Pedagogy",0.339482843582668,1.57540984257413,1.24863520258377,0.595701533982001,1.2207179197728,1.05762178709812,0.301887204795046,0.681806881120266,0.599071676935763,0.300778931068992,0.750823826662665,0.674747230542436
