"","major","year","men","women","type"
"3628","デザイン",2018,59,128,2
"3629","音楽",2018,318,597,2
"3630","その他",2018,413,1379,2
"3631","教養学",2018,1514,764,2
"3632","総合科学",2018,299,268,2
"3633","教養課程（文科）",2018,2021,966,2
"3634","教養課程（理科）",2018,3439,544,2
"3635","教養課程（その他）",2018,2002,890,2
"3636","人文・社会科学",2018,556,768,2
"3637","国際関係学（国際関係学部）",2018,231,622,2
"3638","人間関係科学",2018,0,0,2
"3639","その他",2018,9917,6953,2
"3640","28",2017,283557,160647,2
"3641","29",2017,280693,161228,2
"3642","文学",2017,109,319,2
"3643","史学",2017,251,164,2
"3644","哲学",2017,95,132,2
"3645","その他",2017,11389,18792,2
"3646","法学・政治学",2017,9893,5880,2
"3647","商学・経済学",2017,24953,11564,2
"3648","社会学",2017,1350,1313,2
"3649","その他",2017,6831,4885,2
"3650","数学",2017,3591,764,2
"3651","物理学",2017,3975,663,2
"3652","化学",2017,2517,974,2
"3653","生物学",2017,2138,1491,2
"3654","地学",2017,1479,515,2
"3655","その他",2017,9129,3400,2
"3656","機械工学",2017,21965,1476,2
"3657","電気通信工学",2017,32255,2785,2
"3658","土木建築工学",2017,9503,2593,2
"3659","応用化学",2017,11214,3829,2
"3660","応用理学",2017,3689,348,2
"3661","原子力工学",2017,0,0,2
"3662","鉱山学",2017,0,0,2
"3663","金属工学",2017,67,8,2
"3664","繊維工学",2017,433,163,2
"3665","船舶工学",2017,249,45,2
"3666","航空工学",2017,123,6,2
"3667","経営工学",2017,168,22,2
"3668","工芸学",2017,16,42,2
"3669","その他",2017,29483,6682,2
"3670","農学",2017,2417,2214,2
"3671","農芸化学",2017,1060,997,2
"3672","農業工学",2017,350,172,2
"3673","農業経済学",2017,317,222,2
"3674","林学",2017,635,325,2
"3675","林産学",2017,0,0,2
"3676","獣医学畜産学",2017,1510,1786,2
"3677","水産学",2017,1801,889,2
"3678","その他",2017,8735,6785,2
"3679","医学",2017,20512,9302,2
"3680","歯学",2017,1775,1563,2
"3681","薬学",2017,3080,2487,2
"3682","看護学",2017,308,4593,2
"3683","その他",2017,3509,11386,2
"3684","商船学",2017,347,51,2
"3685","家政学",2017,0,553,2
"3686","食物学",2017,0,302,2
"3687","被服学",2017,0,0,2
"3688","住居学",2017,0,161,2
"3689","児童学",2017,0,0,2
"3690","その他",2017,0,338,2
"3691","教育学",2017,1068,1341,2
"3692","小学校課程",2017,5507,6312,2
"3693","中学校課程",2017,406,326,2
"3694","高等学校課程",2017,0,0,2
"3695","特別教科課程",2017,0,0,2
"3696","盲学校課程",2017,0,0,2
"3697","聾学校課程",2017,0,0,2
"3698","中等教育学校課程",2017,1744,1266,2
"3699","養護学校課程",2017,1,44,2
"3700","幼稚園課程",2017,10,120,2
"3701","体育学",2017,1301,501,2
"3702","障害児教育課程",2017,0,0,2
"3703","特別支援教育課程",2017,298,1052,2
"3704","その他",2017,18322,23845,2
"3705","美術",2017,157,263,2
"3706","デザイン",2017,55,134,2
"3707","音楽",2017,317,603,2
"3708","その他",2017,385,1320,2
"3709","教養学",2017,1482,807,2
"3710","総合科学",2017,303,278,2
"3711","教養課程（文科）",2017,1976,950,2
"3712","教養課程（理科）",2017,3393,533,2
"3713","教養課程（その他）",2017,2023,901,2
"3714","人文・社会科学",2017,531,670,2
"3715","国際関係学（国際関係学部）",2017,256,727,2
"3716","人間関係科学",2017,0,0,2
"3717","その他",2017,7937,6254,2
"3718","27",2016,285890,159778,2
"3719","28",2016,283557,160647,2
"3720","文学",2016,107,311,2
"3721","史学",2016,281,187,2
"3722","哲学",2016,103,118,2
"3723","その他",2016,11259,18930,2
"3724","法学・政治学",2016,9966,5881,2
"3725","商学・経済学",2016,25385,11637,2
"3726","社会学",2016,1835,1367,2
"3727","その他",2016,6832,4652,2
"3728","数学",2016,3720,849,2
"3729","物理学",2016,4272,690,2
"3730","化学",2016,2624,1033,2
"3731","生物学",2016,2135,1566,2
"3732","地学",2016,1534,528,2
"3733","その他",2016,8820,3179,2
"3734","機械工学",2016,23110,1477,2
"3735","電気通信工学",2016,33862,2854,2
"3736","土木建築工学",2016,10385,2694,2
"3737","応用化学",2016,11757,3804,2
"3738","応用理学",2016,3752,323,2
"3739","原子力工学",2016,0,0,2
"3740","鉱山学",2016,0,0,2
"3741","金属工学",2016,107,12,2
"3742","繊維工学",2016,540,182,2
"3743","船舶工学",2016,280,53,2
"3744","航空工学",2016,121,6,2
"3745","経営工学",2016,199,25,2
"3746","工芸学",2016,13,50,2
"3747","その他",2016,27308,6181,2
"3748","農学",2016,2651,2323,2
"3749","農芸化学",2016,1006,994,2
"3750","農業工学",2016,364,162,2
"3751","農業経済学",2016,320,233,2
"3752","林学",2016,692,339,2
"3753","林産学",2016,0,0,2
"3754","獣医学畜産学",2016,1551,1790,2
"3755","水産学",2016,1773,834,2
"3756","その他",2016,8530,6468,2
"3757","医学",2016,20430,9256,2
"3758","歯学",2016,1826,1547,2
"3759","薬学",2016,3136,2423,2
"3760","看護学",2016,353,4581,2
"3761","その他",2016,3591,11315,2
"3762","商船学",2016,322,43,2
"3763","家政学",2016,0,598,2
"3764","食物学",2016,0,309,2
"3765","被服学",2016,0,0,2
"3766","住居学",2016,0,165,2
"3767","児童学",2016,0,0,2
"3768","その他",2016,0,248,2
"3769","教育学",2016,1064,1397,2
"3770","小学校課程",2016,5383,6043,2
"3771","中学校課程",2016,414,318,2
"3772","高等学校課程",2016,0,0,2
"3773","特別教科課程",2016,0,0,2
"3774","盲学校課程",2016,0,0,2
"3775","聾学校課程",2016,0,0,2
"3776","中等教育学校課程",2016,1750,1219,2
"3777","養護学校課程",2016,0,44,2
"3778","幼稚園課程",2016,12,137,2
"3779","体育学",2016,1338,542,2
"3780","障害児教育課程",2016,0,0,2
"3781","特別支援教育課程",2016,310,1103,2
"3782","その他",2016,19269,24710,2
"3783","美術",2016,149,271,2
"3784","デザイン",2016,59,128,2
"3785","音楽",2016,323,588,2
"3786","その他",2016,378,1345,2
"3787","教養学",2016,1505,775,2
"3788","総合科学",2016,303,281,2
"3789","教養課程（文科）",2016,2018,863,2
"3790","教養課程（理科）",2016,3424,576,2
"3791","教養課程（その他）",2016,1971,936,2
"3792","人文・社会科学",2016,536,576,2
"3793","国際関係学（国際関係学部）",2016,314,855,2
"3794","人間関係科学",2016,0,0,2
"3795","その他",2016,6185,5723,2
"3796","26",2015,287565,159773,2
"3797","27",2015,285890,159778,2
"3798","文学",2015,103,307,2
"3799","史学",2015,302,210,2
"3800","哲学",2015,99,117,2
"3801","その他",2015,10952,18859,2
"3802","法学・政治学",2015,10282,5666,2
"3803","商学・経済学",2015,26123,11633,2
"3804","社会学",2015,1666,1474,2
"3805","その他",2015,6350,4334,2
"3806","数学",2015,3744,911,2
"3807","物理学",2015,4392,725,2
"3808","化学",2015,2722,1048,2
"3809","生物学",2015,2170,1632,2
"3810","地学",2015,1569,525,2
"3811","その他",2015,8883,3025,2
"3812","機械工学",2015,23672,1410,2
"3813","電気通信工学",2015,34998,2847,2
"3814","土木建築工学",2015,10909,2753,2
"3815","応用化学",2015,11991,3702,2
"3816","応用理学",2015,3691,297,2
"3817","原子力工学",2015,0,0,2
"3818","鉱山学",2015,0,0,2
"3819","金属工学",2015,160,15,2
"3820","繊維工学",2015,617,223,2
"3821","船舶工学",2015,375,59,2
"3822","航空工学",2015,113,4,2
"3823","経営工学",2015,204,25,2
"3824","工芸学",2015,15,48,2
"3825","その他",2015,27868,6107,2
"3826","農学",2015,2829,2412,2
"3827","農芸化学",2015,983,956,2
"3828","農業工学",2015,365,166,2
"3829","農業経済学",2015,323,233,2
"3830","林学",2015,745,358,2
"3831","林産学",2015,0,0,2
"3832","獣医学畜産学",2015,1589,1761,2
"3833","水産学",2015,1664,853,2
"3834","その他",2015,8427,6412,2
"3835","医学",2015,20313,9170,2
"3836","歯学",2015,1844,1539,2
"3837","薬学",2015,3171,2404,2
"3838","看護学",2015,362,4588,2
"3839","その他",2015,3673,11237,2
"3840","商船学",2015,217,28,2
"3841","家政学",2015,0,647,2
"3842","食物学",2015,0,313,2
"3843","被服学",2015,0,0,2
"3844","住居学",2015,0,160,2
"3845","児童学",2015,0,0,2
"3846","その他",2015,0,159,2
"3847","教育学",2015,1092,1383,2
"3848","小学校課程",2015,5284,5892,2
"3849","中学校課程",2015,428,331,2
"3850","高等学校課程",2015,0,0,2
"3851","特別教科課程",2015,0,0,2
"3852","盲学校課程",2015,0,0,2
"3853","聾学校課程",2015,0,0,2
"3854","中等教育学校課程",2015,1732,1154,2
"3855","養護学校課程",2015,0,45,2
"3856","幼稚園課程",2015,14,134,2
"3857","体育学",2015,1380,569,2
"3858","障害児教育課程",2015,0,0,2
"3859","特別支援教育課程",2015,309,1114,2
"3860","その他",2015,20051,25300,2
"3861","美術",2015,148,272,2
"3862","デザイン",2015,64,130,2
"3863","音楽",2015,321,584,2
"3864","その他",2015,361,1383,2
"3865","教養学",2015,509,595,2
"3866","総合科学",2015,312,277,2
"3867","教養課程（文科）",2015,1978,869,2
"3868","教養課程（理科）",2015,3469,582,2
"3869","教養課程（その他）",2015,1974,921,2
"3870","人文・社会科学",2015,515,496,2
"3871","国際関係学（国際関係学部）",2015,319,835,2
"3872","人間関係科学",2015,0,0,2
"3873","その他",2015,5155,5560,2
"3874","25",2014,287923,160050,2
"3875","26",2014,287565,159773,2
"3876","文学",2014,105,307,2
"3877","史学",2014,316,201,2
"3878","哲学",2014,99,114,2
"3879","その他",2014,10940,19068,2
"3880","法学・政治学",2014,10416,5747,2
"3881","商学・経済学",2014,26558,11493,2
"3882","社会学",2014,1752,1480,2
"3883","その他",2014,6342,4367,2
"3884","数学",2014,3695,980,2
"3885","物理学",2014,4428,758,2
"3886","化学",2014,2732,1109,2
"3887","生物学",2014,2205,1682,2
"3888","地学",2014,1609,528,2
"3889","その他",2014,8889,2861,2
"3890","機械工学",2014,23871,1340,2
"3891","電気通信工学",2014,35626,2732,2
"3892","土木建築工学",2014,11162,2788,2
"3893","応用化学",2014,12425,3597,2
"3894","応用理学",2014,3749,299,2
"3895","原子力工学",2014,0,0,2
"3896","鉱山学",2014,0,0,2
"3897","金属工学",2014,220,23,2
"3898","繊維工学",2014,622,220,2
"3899","船舶工学",2014,483,62,2
"3900","航空工学",2014,113,4,2
"3901","経営工学",2014,193,18,2
"3902","工芸学",2014,17,43,2
"3903","その他",2014,27460,5902,2
"3904","農学",2014,2834,2453,2
"3905","農芸化学",2014,966,896,2
"3906","農業工学",2014,371,168,2
"3907","農業経済学",2014,326,220,2
"3908","林学",2014,769,401,2
"3909","林産学",2014,0,0,2
"3910","獣医学畜産学",2014,1635,1716,2
"3911","水産学",2014,1650,866,2
"3912","その他",2014,8399,6479,2
"3913","医学",2014,19993,8936,2
"3914","歯学",2014,1855,1535,2
"3915","薬学",2014,3142,2430,2
"3916","看護学",2014,389,4613,2
"3917","その他",2014,3712,11246,2
"3918","商船学",2014,104,15,2
"3919","家政学",2014,0,703,2
"3920","食物学",2014,0,313,2
"3921","被服学",2014,0,0,2
"3922","住居学",2014,0,160,2
"3923","児童学",2014,0,0,2
"3924","その他",2014,0,82,2
"3925","教育学",2014,1087,1364,2
"3926","小学校課程",2014,5237,5873,2
"3927","中学校課程",2014,431,328,2
"3928","高等学校課程",2014,0,0,2
"3929","特別教科課程",2014,0,0,2
"3930","盲学校課程",2014,0,0,2
"3931","聾学校課程",2014,0,0,2
"3932","中等教育学校課程",2014,1710,1133,2
"3933","養護学校課程",2014,0,48,2
"3934","幼稚園課程",2014,12,139,2
"3935","体育学",2014,1405,596,2
"3936","障害児教育課程",2014,0,0,2
"3937","特別支援教育課程",2014,303,1109,2
"3938","その他",2014,20140,25770,2
"3939","美術",2014,152,264,2
"3940","デザイン",2014,59,130,2
"3941","音楽",2014,330,587,2
"3942","その他",2014,397,1484,2
"3943","教養学",2014,499,549,2
"3944","総合科学",2014,314,279,2
"3945","教養課程（文科）",2014,1972,892,2
"3946","教養課程（理科）",2014,3472,562,2
"3947","教養課程（その他）",2014,1967,915,2
"3948","人文・社会科学",2014,514,509,2
"3949","国際関係学（国際関係学部）",2014,339,830,2
"3950","人間関係科学",2014,0,0,2
"3951","その他",2014,5053,5457,2
"3952","24",2013,288615,160195,2
"3953","25",2013,287923,160050,2
"3954","文学",2013,104,299,2
"3955","史学",2013,334,198,2
"3956","哲学",2013,96,124,2
"3957","その他",2013,10839,19340,2
"3958","法学・政治学",2013,10522,5828,2
"3959","商学・経済学",2013,26968,11549,2
"3960","社会学",2013,1777,1555,2
"3961","その他",2013,6075,4334,2
"3962","数学",2013,3752,1051,2
"3963","物理学",2013,4397,813,2
"3964","化学",2013,2710,1154,2
"3965","生物学",2013,2178,1732,2
"3966","地学",2013,1625,509,2
"3967","その他",2013,8711,2665,2
"3968","機械工学",2013,23978,1250,2
"3969","電気通信工学",2013,36168,2633,2
"3970","土木建築工学",2013,11452,2742,2
"3971","応用化学",2013,12824,3692,2
"3972","応用理学",2013,3797,283,2
"3973","原子力工学",2013,0,0,2
"3974","鉱山学",2013,0,0,2
"3975","金属工学",2013,279,33,2
"3976","繊維工学",2013,623,214,2
"3977","船舶工学",2013,477,59,2
"3978","航空工学",2013,113,5,2
"3979","経営工学",2013,181,18,2
"3980","工芸学",2013,19,41,2
"3981","その他",2013,27162,5558,2
"3982","農学",2013,2892,2478,2
"3983","農芸化学",2013,963,822,2
"3984","農業工学",2013,389,158,2
"3985","農業経済学",2013,336,222,2
"3986","林学",2013,795,407,2
"3987","林産学",2013,0,0,2
"3988","獣医学畜産学",2013,1662,1676,2
"3989","水産学",2013,1646,887,2
"3990","その他",2013,8493,6447,2
"3991","医学",2013,19509,8641,2
"3992","歯学",2013,1868,1559,2
"3993","薬学",2013,3126,2432,2
"3994","看護学",2013,390,4669,2
"3995","その他",2013,3759,11262,2
"3996","商船学",2013,0,0,2
"3997","家政学",2013,0,741,2
"3998","食物学",2013,0,311,2
"3999","被服学",2013,0,0,2
"4000","住居学",2013,0,158,2
"4001","児童学",2013,0,0,2
"4002","その他",2013,0,0,2
"4003","教育学",2013,1064,1386,2
"4004","小学校課程",2013,5103,5970,2
"4005","中学校課程",2013,422,341,2
"4006","高等学校課程",2013,0,0,2
"4007","特別教科課程",2013,0,0,2
"4008","盲学校課程",2013,0,0,2
"4009","聾学校課程",2013,0,0,2
"4010","中等教育学校課程",2013,1683,1134,2
"4011","養護学校課程",2013,1,51,2
"4012","幼稚園課程",2013,10,148,2
"4013","体育学",2013,1436,631,2
"4014","障害児教育課程",2013,0,2,2
"4015","特別支援教育課程",2013,286,1120,2
"4016","その他",2013,19851,26232,2
"4017","美術",2013,155,251,2
"4018","デザイン",2013,59,124,2
"4019","音楽",2013,333,592,2
"4020","その他",2013,430,1566,2
"4021","教養学",2013,412,526,2
"4022","総合科学",2013,305,281,2
"4023","教養課程（文科）",2013,2007,865,2
"4024","教養課程（理科）",2013,3469,520,2
"4025","教養課程（その他）",2013,1997,897,2
"4026","人文・社会科学",2013,509,521,2
"4027","国際関係学（国際関係学部）",2013,351,841,2
"4028","人間関係科学",2013,0,0,2
"4029","その他",2013,5051,5502,2
"4030","23",2012,290057,160777,2
"4031","24",2012,288615,160195,2
"4032","文学",2012,111,311,2
"4033","史学",2012,341,213,2
"4034","哲学",2012,90,127,2
"4035","その他",2012,10689,19294,2
"4036","法学・政治学",2012,10627,5809,2
"4037","商学・経済学",2012,27104,11546,2
"4038","社会学",2012,1782,1574,2
"4039","その他",2012,6088,4266,2
"4040","数学",2012,3671,1105,2
"4041","物理学",2012,4409,835,2
"4042","化学",2012,2894,1286,2
"4043","生物学",2012,2209,1699,2
"4044","地学",2012,1598,528,2
"4045","その他",2012,8609,2693,2
"4046","機械工学",2012,24052,1152,2
"4047","電気通信工学",2012,36785,2597,2
"4048","土木建築工学",2012,11663,2751,2
"4049","応用化学",2012,13218,3577,2
"4050","応用理学",2012,3890,308,2
"4051","原子力工学",2012,0,0,2
"4052","鉱山学",2012,0,0,2
"4053","金属工学",2012,337,41,2
"4054","繊維工学",2012,664,192,2
"4055","船舶工学",2012,491,58,2
"4056","航空工学",2012,110,8,2
"4057","経営工学",2012,201,25,2
"4058","工芸学",2012,24,35,2
"4059","その他",2012,26716,5376,2
"4060","農学",2012,2871,2498,2
"4061","農芸化学",2012,965,775,2
"4062","農業工学",2012,400,143,2
"4063","農業経済学",2012,341,215,2
"4064","林学",2012,752,393,2
"4065","林産学",2012,0,0,2
"4066","獣医学畜産学",2012,1678,1600,2
"4067","水産学",2012,1635,899,2
"4068","その他",2012,8569,6605,2
"4069","医学",2012,18939,8420,2
"4070","歯学",2012,1908,1570,2
"4071","薬学",2012,3084,2448,2
"4072","看護学",2012,403,4629,2
"4073","その他",2012,3844,11211,2
"4074","商船学",2012,0,0,2
"4075","家政学",2012,0,751,2
"4076","食物学",2012,0,313,2
"4077","被服学",2012,0,0,2
"4078","住居学",2012,0,160,2
"4079","児童学",2012,0,0,2
"4080","その他",2012,0,0,2
"4081","教育学",2012,1074,1411,2
"4082","小学校課程",2012,4923,5909,2
"4083","中学校課程",2012,484,407,2
"4084","高等学校課程",2012,0,0,2
"4085","特別教科課程",2012,0,0,2
"4086","盲学校課程",2012,0,0,2
"4087","聾学校課程",2012,0,0,2
"4088","中等教育学校課程",2012,1683,1102,2
"4089","養護学校課程",2012,4,51,2
"4090","幼稚園課程",2012,9,149,2
"4091","体育学",2012,1434,641,2
"4092","障害児教育課程",2012,0,6,2
"4093","特別支援教育課程",2012,276,1120,2
"4094","その他",2012,19736,26628,2
"4095","美術",2012,157,249,2
"4096","デザイン",2012,54,128,2
"4097","音楽",2012,340,589,2
"4098","その他",2012,427,1567,2
"4099","教養学",2012,326,492,2
"4100","総合科学",2012,297,275,2
"4101","教養課程（文科）",2012,2023,852,2
"4102","教養課程（理科）",2012,3463,531,2
"4103","教養課程（その他）",2012,1999,916,2
"4104","人文・社会科学",2012,652,635,2
"4105","国際関係学（国際関係学部）",2012,343,818,2
"4106","人間関係科学",2012,0,0,2
"4107","その他",2012,5149,5683,2
"4108","22",2011,289924,161621,2
"4109","23",2011,290057,160777,2
"4110","文学",2011,123,319,2
"4111","史学",2011,343,228,2
"4112","哲学",2011,92,124,2
"4113","その他",2011,10495,19642,2
"4114","法学・政治学",2011,10760,5797,2
"4115","商学・経済学",2011,27276,11665,2
"4116","社会学",2011,1782,1571,2
"4117","その他",2011,6079,4331,2
"4118","数学",2011,3672,1120,2
"4119","物理学",2011,4423,799,2
"4120","化学",2011,2854,1272,2
"4121","生物学",2011,2192,1621,2
"4122","地学",2011,1545,543,2
"4123","その他",2011,8753,2794,2
"4124","機械工学",2011,24241,1072,2
"4125","電気通信工学",2011,37551,2539,2
"4126","土木建築工学",2011,11955,2780,2
"4127","応用化学",2011,13948,3632,2
"4128","応用理学",2011,4006,319,2
"4129","原子力工学",2011,1,0,2
"4130","鉱山学",2011,0,0,2
"4131","金属工学",2011,332,35,2
"4132","繊維工学",2011,711,171,2
"4133","船舶工学",2011,483,61,2
"4134","航空工学",2011,120,8,2
"4135","経営工学",2011,200,28,2
"4136","工芸学",2011,20,41,2
"4137","その他",2011,26305,5182,2
"4138","農学",2011,2889,2493,2
"4139","農芸化学",2011,986,809,2
"4140","農業工学",2011,412,129,2
"4141","農業経済学",2011,334,227,2
"4142","林学",2011,736,371,2
"4143","林産学",2011,0,0,2
"4144","獣医学畜産学",2011,1718,1543,2
"4145","水産学",2011,1717,894,2
"4146","その他",2011,8771,6531,2
"4147","医学",2011,18440,8121,2
"4148","歯学",2011,1973,1583,2
"4149","薬学",2011,3059,2474,2
"4150","看護学",2011,411,4642,2
"4151","その他",2011,3923,11164,2
"4152","商船学",2011,0,0,2
"4153","家政学",2011,0,751,2
"4154","食物学",2011,0,307,2
"4155","被服学",2011,0,0,2
"4156","住居学",2011,0,158,2
"4157","児童学",2011,0,0,2
"4158","その他",2011,0,0,2
"4159","教育学",2011,1027,1477,2
"4160","小学校課程",2011,4805,5754,2
"4161","中学校課程",2011,550,467,2
"4162","高等学校課程",2011,0,0,2
"4163","特別教科課程",2011,0,0,2
"4164","盲学校課程",2011,0,0,2
"4165","聾学校課程",2011,0,0,2
"4166","中等教育学校課程",2011,1636,1110,2
"4167","養護学校課程",2011,6,53,2
"4168","幼稚園課程",2011,11,148,2
"4169","体育学",2011,1452,629,2
"4170","障害児教育課程",2011,42,190,2
"4171","特別支援教育課程",2011,225,929,2
"4172","その他",2011,19728,27207,2
"4173","美術",2011,163,241,2
"4174","デザイン",2011,56,128,2
"4175","音楽",2011,340,579,2
"4176","その他",2011,457,1556,2
"4177","教養学",2011,315,511,2
"4178","総合科学",2011,279,285,2
"4179","教養課程（文科）",2011,2004,883,2
"4180","教養課程（理科）",2011,3436,564,2
"4181","教養課程（その他）",2011,1912,909,2
"4182","人文・社会科学",2011,693,756,2
"4183","国際関係学（国際関係学部）",2011,341,850,2
"4184","人間関係科学",2011,0,0,2
"4185","その他",2011,4948,5660,2
"4186","21",2010,290691,161534,2
"4187","22",2010,289924,161621,2
"4188","文学",2010,134,391,2
"4189","史学",2010,367,268,2
"4190","哲学",2010,92,123,2
"4191","その他",2010,10349,20249,2
"4192","法学・政治学",2010,10729,5970,2
"4193","商学・経済学",2010,27377,11905,2
"4194","社会学",2010,1797,1591,2
"4195","その他",2010,6045,4562,2
"4196","数学",2010,3791,1159,2
"4197","物理学",2010,4458,786,2
"4198","化学",2010,2875,1311,2
"4199","生物学",2010,2187,1567,2
"4200","地学",2010,1566,584,2
"4201","その他",2010,8791,2816,2
"4202","機械工学",2010,24527,969,2
"4203","電気通信工学",2010,38361,2595,2
"4204","土木建築工学",2010,12020,2818,2
"4205","応用化学",2010,14646,3692,2
"4206","応用理学",2010,4176,321,2
"4207","原子力工学",2010,1,0,2
"4208","鉱山学",2010,0,0,2
"4209","金属工学",2010,336,32,2
"4210","繊維工学",2010,759,173,2
"4211","船舶工学",2010,449,65,2
"4212","航空工学",2010,119,5,2
"4213","経営工学",2010,188,24,2
"4214","工芸学",2010,19,42,2
"4215","その他",2010,25876,5072,2
"4216","農学",2010,2939,2403,2
"4217","農芸化学",2010,1006,871,2
"4218","農業工学",2010,414,133,2
"4219","農業経済学",2010,322,237,2
"4220","林学",2010,705,330,2
"4221","林産学",2010,0,0,2
"4222","獣医学畜産学",2010,1782,1492,2
"4223","水産学",2010,1888,930,2
"4224","その他",2010,9028,6599,2
"4225","医学",2010,18157,7754,2
"4226","歯学",2010,2081,1613,2
"4227","薬学",2010,2889,2211,2
"4228","看護学",2010,412,4660,2
"4229","その他",2010,4093,11293,2
"4230","商船学",2010,4,0,2
"4231","家政学",2010,0,750,2
"4232","食物学",2010,0,307,2
"4233","被服学",2010,0,0,2
"4234","住居学",2010,0,159,2
"4235","児童学",2010,0,0,2
"4236","その他",2010,0,0,2
"4237","教育学",2010,1027,1550,2
"4238","小学校課程",2010,4547,5689,2
"4239","中学校課程",2010,617,526,2
"4240","高等学校課程",2010,0,0,2
"4241","特別教科課程",2010,0,0,2
"4242","盲学校課程",2010,0,0,2
"4243","聾学校課程",2010,0,0,2
"4244","中等教育学校課程",2010,1588,1121,2
"4245","養護学校課程",2010,13,69,2
"4246","幼稚園課程",2010,12,148,2
"4247","体育学",2010,1465,621,2
"4248","障害児教育課程",2010,28,121,2
"4249","特別支援教育課程",2010,225,997,2
"4250","その他",2010,19769,28068,2
"4251","美術",2010,170,238,2
"4252","デザイン",2010,56,130,2
"4253","音楽",2010,327,596,2
"4254","その他",2010,458,1538,2
"4255","教養学",2010,309,525,2
"4256","総合科学",2010,278,300,2
"4257","教養課程（文科）",2010,2031,857,2
"4258","教養課程（理科）",2010,3419,586,2
"4259","教養課程（その他）",2010,0,0,2
"4260","人文・社会科学",2010,732,881,2
"4261","国際関係学（国際関係学部）",2010,336,878,2
"4262","人間関係科学",2010,0,0,2
"4263","その他",2010,4762,5350,2
"4264","20",2009,293017,161636,2
"4265","21",2009,290691,161534,2
"4266","文学",2009,144,452,2
"4267","史学",2009,375,274,2
"4268","哲学",2009,69,94,2
"4269","その他",2009,10197,20321,2
"4270","法学・政治学",2009,10634,6043,2
"4271","商学・経済学",2009,27188,11872,2
"4272","社会学",2009,1809,1618,2
"4273","その他",2009,6194,4637,2
"4274","数学",2009,3874,1189,2
"4275","物理学",2009,4413,774,2
"4276","化学",2009,2862,1330,2
"4277","生物学",2009,2244,1612,2
"4278","地学",2009,1582,601,2
"4279","その他",2009,8813,2890,2
"4280","機械工学",2009,24408,917,2
"4281","電気通信工学",2009,39187,2625,2
"4282","土木建築工学",2009,12055,2843,2
"4283","応用化学",2009,15241,3633,2
"4284","応用理学",2009,4052,304,2
"4285","原子力工学",2009,3,0,2
"4286","鉱山学",2009,2,0,2
"4287","金属工学",2009,345,29,2
"4288","繊維工学",2009,813,161,2
"4289","船舶工学",2009,450,59,2
"4290","航空工学",2009,114,4,2
"4291","経営工学",2009,196,25,2
"4292","工芸学",2009,17,43,2
"4293","その他",2009,25469,4988,2
"4294","農学",2009,2821,2298,2
"4295","農芸化学",2009,1032,914,2
"4296","農業工学",2009,460,154,2
"4297","農業経済学",2009,317,226,2
"4298","林学",2009,684,330,2
"4299","林産学",2009,0,0,2
"4300","獣医学畜産学",2009,1804,1443,2
"4301","水産学",2009,1912,927,2
"4302","その他",2009,9283,6559,2
"4303","医学",2009,17656,7561,2
"4304","歯学",2009,2101,1602,2
"4305","薬学",2009,2741,1912,2
"4306","看護学",2009,447,4669,2
"4307","その他",2009,4184,11181,2
"4308","商船学",2009,6,0,2
"4309","家政学",2009,0,763,2
"4310","食物学",2009,0,305,2
"4311","被服学",2009,0,0,2
"4312","住居学",2009,0,154,2
"4313","児童学",2009,0,0,2
"4314","その他",2009,0,0,2
"4315","教育学",2009,1060,1642,2
"4316","小学校課程",2009,4435,5383,2
"4317","中学校課程",2009,699,567,2
"4318","高等学校課程",2009,0,0,2
"4319","特別教科課程",2009,0,0,2
"4320","盲学校課程",2009,0,0,2
"4321","聾学校課程",2009,0,0,2
"4322","中等教育学校課程",2009,1502,1051,2
"4323","養護学校課程",2009,23,124,2
"4324","幼稚園課程",2009,16,147,2
"4325","体育学",2009,1472,622,2
"4326","障害児教育課程",2009,82,331,2
"4327","特別支援教育課程",2009,174,736,2
"4328","その他",2009,20275,28846,2
"4329","美術",2009,180,237,2
"4330","デザイン",2009,56,126,2
"4331","音楽",2009,305,600,2
"4332","その他",2009,451,1532,2
"4333","教養学",2009,334,524,2
"4334","総合科学",2009,275,309,2
"4335","教養課程（文科）",2009,2058,848,2
"4336","教養課程（理科）",2009,3444,611,2
"4337","教養課程（その他）",2009,0,0,2
"4338","人文・社会科学",2009,802,1005,2
"4339","国際関係学（国際関係学部）",2009,321,902,2
"4340","人間関係科学",2009,2,1,2
"4341","その他",2009,4527,5054,2
"4342","19",2008,294650,163102,2
"4343","20",2008,293017,161636,2
"4344","文学",2008,169,501,2
"4345","史学",2008,407,278,2
"4346","哲学",2008,51,62,2
"4347","その他",2008,10200,20664,2
"4348","法学・政治学",2008,10813,6066,2
"4349","商学・経済学",2008,27494,11721,2
"4350","社会学",2008,1880,1594,2
"4351","その他",2008,6369,4715,2
"4352","数学",2008,3949,1232,2
"4353","物理学",2008,4398,756,2
"4354","化学",2008,2885,1268,2
"4355","生物学",2008,2233,1623,2
"4356","地学",2008,1598,596,2
"4357","その他",2008,9047,2859,2
"4358","機械工学",2008,24430,892,2
"4359","電気通信工学",2008,39663,2591,2
"4360","土木建築工学",2008,12178,2791,2
"4361","応用化学",2008,15933,3701,2
"4362","応用理学",2008,3896,284,2
"4363","原子力工学",2008,12,1,2
"4364","鉱山学",2008,6,0,2
