"","year","inst","numx","men","women"
"287",1976,1,31,1081,5
"288",1976,1,32,1069,42
"289",1976,1,33,911,15
"290",1976,1,34,126,9
"291",1976,1,35,1848,238
"292",1976,1,36,1481,43
"293",1976,1,37,140,87
"294",1976,1,38,4200,479
"295",1976,1,39,1686,366
"296",1976,1,40,2173,4305
"297",1976,1,41,0,82
"298",1976,1,42,230,503
"299",1976,1,43,0,0
"300",1976,1,44,8,2042
"301",1976,1,45,11,1698
"302",1976,1,46,0,1151
"303",1976,1,47,10,132
"304",1976,1,48,0,1149
"305",1976,1,49,1144,2188
"306",1976,1,50,3018,6565
"307",1976,1,51,1795,2144
"308",1976,1,52,79,123
"309",1976,1,53,579,560
"310",1976,1,54,7,17
"311",1976,1,55,16,59
"312",1976,1,56,186,647
"313",1976,1,57,9,370
"314",1976,1,58,2874,1078
"315",1976,1,59,56.5,503.5
"316",1976,1,60,687,432
"317",1976,1,61,734,359
"318",1976,1,62,454,3658
"319",1976,1,63,596,263.5
"320",1976,1,64,122.5,171.5
"321",1976,2,1,1150,1046
"322",1976,2,2,337,244
"323",1976,2,3,316,148
"324",1976,2,4,190,94
"325",1976,2,5,2738,179
"326",1976,2,6,5275,225
"327",1976,2,7,142,39
"328",1976,2,8,185,10
"329",1976,2,9,815,166
"330",1976,2,10,987,71
"331",1976,2,11,799,235
"332",1976,2,12,392,134
"333",1976,2,13,255,13
"334",1976,2,14,365,77
"335",1976,2,15,3840,4
"336",1976,2,16,3977,19
"337",1976,2,17,2514,32
"338",1976,2,18,3295,54
"339",1976,2,19,636,5
"340",1976,2,20,217,2
"341",1976,2,21,303,0
"342",1976,2,22,829,2
"343",1976,2,23,526,25
"344",1976,2,24,181,0
"345",1976,2,25,103,0
"346",1976,2,26,153,0
"347",1976,2,27,112,22
"348",1976,2,28,364,13
"349",1976,2,29,1115,180
"350",1976,2,30,1027,253
"351",1976,2,31,771,4
"352",1976,2,32,203,14
"353",1976,2,33,554,13
"354",1976,2,34,126,9
"355",1976,2,35,660,86
"356",1976,2,36,721,21
"357",1976,2,37,0,0
"358",1976,2,38,2237,201
"359",1976,2,39,233,51
"360",1976,2,40,338,698
"361",1976,2,41,0,0
"362",1976,2,42,56,81
"363",1976,2,43,154,0
"364",1976,2,44,0,24
"365",1976,2,45,0,53
"366",1976,2,46,0,51
"367",1976,2,47,0,26
"368",1976,2,48,0,34
"369",1976,2,49,239,229
"370",1976,2,50,3018,6565
"371",1976,2,51,1795,2144
"372",1976,2,52,79,123
"373",1976,2,53,579,560
"374",1976,2,54,7,17
"375",1976,2,55,16,59
"376",1976,2,56,186,647
"377",1976,2,57,9,370
"378",1976,2,58,179,47
"379",1976,2,59,13.5,5
"380",1976,2,60,66,22
"381",1976,2,61,0,0
"382",1976,2,62,83,126
"383",1976,2,63,47,23.5
"384",1976,2,64,51,20
"385",1976,3,1,611,1279
"386",1976,3,2,18,17
"387",1976,3,3,2,0
"388",1976,3,4,58,22
"389",1976,3,5,199,26
"390",1976,3,6,2435,191
"391",1976,3,7,20,146
"392",1976,3,8,0,0
"393",1976,3,9,32,6
"394",1976,3,10,48,3
"395",1976,3,11,39,5
"396",1976,3,12,21,7
"397",1976,3,13,16,4
"398",1976,3,14,66,14
"399",1976,3,15,260,0
"400",1976,3,16,277,1
"401",1976,3,17,126,5
